doc_id,sentence_id,sentence
pilot_climate,p001,Technology can reduce emissions.
pilot_climate,p002,ExxonMobil invests in carbon capture.
pilot_climate,p003,Carbon capture helps industry lower emissions.
pilot_climate,p004,Energy demand is rising.
pilot_climate,p005,Companies report progress on climate goals.
pilot_climate,p006,Consumers choose lower-carbon products.
pilot_climate,p007,Utilities expand solar capacity.
pilot_climate,p008,Oil producers face pressure from investors.
pilot_climate,p009,Factories adopt cleaner fuels.
pilot_climate,p010,Governments set stricter methane rules.
pilot_climate,p011,Banks finance renewable energy projects.
pilot_climate,p012,Heavy industry tests hydrogen boilers.
pilot_climate,p013,Power grids need more storage.
pilot_climate,p014,Startups develop battery recycling services.
pilot_climate,p015,Airlines buy sustainable aviation fuel.
pilot_climate,p016,Retailers track supply chain emissions.
pilot_climate,p017,Steelmakers use electric furnaces.
pilot_climate,p018,Carbon markets reward verified reductions.
pilot_climate,p019,Consumers expect credible climate claims.
pilot_climate,p020,Data centers consume more electricity.
pilot_climate,p021,Mining companies restore damaged land.
pilot_climate,p022,Shipping firms order cleaner vessels.
pilot_climate,p023,Manufacturers redesign products to use less energy.
pilot_climate,p024,Energy companies balance profits and transition spending.
